UserAgent,Page Views
BBCBeacon/3.5 (iPad; iPhone OS 5.1.1) BBCNews/2.1.4,"219,802"
BBCBeacon/0.74b (KFOT; Android 4.0.3) news/2.5.3 UK,"219,471"
Dalvik/2.1.0 (Linux; U; Android 7.0; Nexus 5X Build/NRD90M),"218,897"
BBCNews/3.9.3.14 CFNetwork/758.0.2 Darwin/15.0.0,"214,356"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; HTC One Build/LRX22G),"213,564"
BBCNews/3.6.0.149 CFNetwork/758.5.3 Darwin/15.6.0,"212,708"
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1039 Build/LPB23.13-17.6),"203,424"
BBCBeacon/3.5 (iPhone; iPhone OS 9.3.5) BBCNews/2.1.4,"197,496"
BBCNews/3.9.3.14 CFNetwork/711.1.12 Darwin/14.0.0,"196,645"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T800 Build/LRX22G),"195,631"
BBCBeacon/0.74b (KFASWI; Android 5.1.1) news/2.5.3 UK,"194,646"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; ONEPLUS A3003 Build/MMB29M),"188,214"
Dalvik/2.1.0 (Linux; U; Android 5.0; E2303 Build/26.1.A.3.111),"187,070"
Dalvik/2.1.0 (Linux; U; Android 6.0; MotoE2(4G-LTE) Build/MPI24.65-39),"180,621"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G930V Build/MMB29M),"179,722"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Moto G (4) Build/MPJ24.139-23.4),"179,268"
BBCNews/3.9.3.14 CFNetwork/711.0.6 Darwin/14.0.0,"176,424"
BBCNews/3.7.1.8 CFNetwork/711.4.6 Darwin/14.0.0,"172,300"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-I8200N Build/JDQ39),"171,406"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T310 Build/KOT49H),"170,646"
BBCNews/3.9.3.14 CFNetwork/672.0.8 Darwin/14.0.0,"169,443"
BBCNews/3.7.1.8 CFNetwork/711.5.6 Darwin/14.0.0,"167,493"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; ONE A2003 Build/MMB29M),"165,407"
BBCNews/3.7.1.8 CFNetwork/711.1.16 Darwin/14.0.0,"157,428"
Dalvik/2.1.0 (Linux; U; Android 5.0; LG-D855 Build/LRX21R.A1445306351),"156,178"
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I8190N Build/JZO54K),"152,601"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-G850F Build/LRX22G),"152,488"
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T530 Build/LRX22G),"145,225"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G903F Build/MMB29K),"144,810"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-T810 Build/MMB29K),"144,353"
BBCNews/3.9.3.14 CFNetwork/672.1.14 Darwin/14.0.0,"141,768"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; D6503 Build/23.5.A.1.291),"141,429"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; D2303 Build/18.6.A.0.182),"140,639"
Dalvik/2.1.0 (Linux; U; Android 6.0; XT1068 Build/MPB24.65-34),"138,523"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Vodafone Smart ultra 6 Build/LMY47V),"135,278"
Dalvik/2.1.0 (Linux; U; Android 6.0; EVA-L09 Build/HUAWEIEVA-L09),"135,185"
BBCNews/3.4.1.2 CFNetwork/758.4.3 Darwin/15.5.0,"133,944"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G920I Build/MMB29K),"131,124"
BBCBeacon/0.74b (KFARWI; Android 5.1.1) news/2.5.3 UK,"126,446"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; D5503 Build/14.6.A.1.236),"124,366"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; HTC One mini 2 Build/KOT49H),"122,338"
BBCNews/3.9.1.48 CFNetwork/758.2.8 Darwin/15.0.0,"120,161"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; SM-T230 Build/KOT49H),"119,374"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-P5210 Build/KOT49H),"119,040"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; HTC 10 Build/MMB29M),"118,018"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; Nexus 6 Build/MOB30W),"117,696"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Nexus 7 Build/LMY47V),"116,541"
BBCBeacon/0.74b (KFMEWI; Android 5.1.1) news/2.5.3 UK,"115,759"
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1254 Build/SU4TL-49),"114,521"
BBCBeacon/3.5 (iPad; iPhone OS 9.3.5) BBCNews/2.1.4,"114,225"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Nexus 4 Build/LMY48T),"112,406"
BBCBeacon/3.5 (iPod touch; iPhone OS 6.1.6) BBCNews/2.1.4,"111,977"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G900W8 Build/MMB29M),"111,452"
